USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
ashishsingh      54383   1.0  1.9 1894433648 157968   ??  S    12:37PM  16:39.57 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Renderer).app/Contents/MacOS/Antigravity IDE Helper (Renderer) --type=renderer --user-data-dir=/Users/ashishsingh/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Antigravity IDE.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=13 --time-ticks-at-unix-epoch=-1786489393867672 --launch-time-ticks=29059408788 --shared-files --field-trial-handle=1718379636,r,18383460315182919034,15311273113973188016,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708998493415531 --vscode-window-config=vscode:10a11524-f22a-45da-ad26-b839753f7f0f --seatbelt-client=58
ashishsingh      73288   0.9  0.4 435358848  35824   ??  S     8:38PM   0:00.14 /Library/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python -c \012import subprocess, time, os, json, urllib.request\012from datetime import datetime, timezone\012from jarvis.amaura.runtime import load_amaura_env\012\012load_amaura_env()\012op_key = os.environ.get('AMAURA_OPERATOR_KEY', '')\012jarvis_key = os.environ.get('JARVIS_API_KEY', '')\012\012run_id = '20260812_203540'\012ev_dir = f'/Users/ashishsingh/Desktop/amaura_jarivs/Amaura-JARVIS-v5.4/qualification_evidence/{run_id}'\012os.makedirs(ev_dir, exist_ok=True)\012\012# 1. System raw stats\012vm_stat_out = subprocess.run(['vm_stat'], capture_output=True, text=True).stdout\012with open(os.path.join(ev_dir, 'raw_vm_stat.txt'), 'w') as f:\012    f.write(vm_stat_out)\012\012mem_press_out = subprocess.run(['memory_pressure'], capture_output=True, text=True).stdout\012with open(os.path.join(ev_dir, 'raw_memory_pressure.txt'), 'w') as f:\012    f.write(mem_press_out)\012\012subprocess.run('pkill -f jarvis.server || true', shell=True)\012time.sleep(1)\012\012def get_process_rss():\012    ps_raw = subprocess.run(['ps', 'aux'], capture_output=True, text=True).stdout\012    backend_rss = 0.0\012    electron_rss = 0.0\012    all_jarvis_rss = 0.0\012    \012    server_pids = []\012    \012    for line in ps_raw.splitlines():\012        if 'grep' in line:\012            continue\012        parts = line.split()\012        if len(parts) >= 11 and parts[1].isdigit():\012            pid = int(parts[1])\012            rss_mb = round(int(parts[5]) / 1024.0, 2)\012            cmd = ' '.join(parts[10:])\012            if 'jarvis.server' in cmd:\012                backend_rss += rss_mb\012                server_pids.append(pid)\012                all_jarvis_rss += rss_mb\012            elif 'Electron' in cmd or 'desktop-app' in cmd:\012                electron_rss += rss_mb\012                all_jarvis_rss += rss_mb\012            elif 'jarvis' in cmd:\012                all_jarvis_rss += rss_mb\012                \012    return backend_rss, electron_rss, all_jarvis_rss, server_pids\012\012env = os.environ.copy()\012env['PYTHONPATH'] = '.'\012env['AMAURA_RESOURCE_PROFILE'] = 'macbook-8gb'\012env['AMAURA_OPERATOR_KEY'] = op_key\012env['JARVIS_API_KEY'] = jarvis_key\012\012server_log = open(os.path.join(ev_dir, 'resource_server.log'), 'w')\012proc = subprocess.Popen(['.venv/bin/python', '-m', 'jarvis.server'], cwd='/Users/ashishsingh/Desktop/amaura_jarivs/Amaura-JARVIS-v5.4', env=env, stdout=server_log, stderr=server_log)\012\012for _ in range(40):\012    try:\012        if urllib.request.urlopen('http://127.0.0.1:8000/api/health', timeout=1).status == 200:\012            break\012    except Exception:\012        time.sleep(0.25)\012\012time.sleep(2)\012\012backend_idle, electron_idle, whole_idle, server_pids = get_process_rss()\012\012headers = {\012    'Content-Type': 'application/json',\012    'X-Jarvis-Key': jarvis_key,\012    'X-Amaura-Operator-Key': op_key\012}\012\012# Chat peak\012chat_data = json.dumps({'message': 'Explain quantum mechanics in two bullet points.', 'session_id': 'res_chat'}).encode('utf-8')\012chat_req = urllib.request.Request('http://127.0.0.1:8000/api/chat', data=chat_data, headers=headers)\012try:\012    with urllib.request.urlopen(chat_req) as resp:\012        resp.read()\012except Exception:\012    pass\012\012chat_peak_rss, _, _, _ = get_process_rss()\012\012# macOS action peak\012mac_data = json.dumps({'message': 'open Safari', 'session_id': 'res_mac'}).encode('utf-8')\012mac_req = urllib.request.Request('http://127.0.0.1:8000/api/chat', data=mac_data, headers=headers)\012try:\012    with urllib.request.urlopen(mac_req) as resp:\012        resp.read()\012except Exception:\012    pass\012\012mac_peak_rss, _, _, _ = get_process_rss()\012\012proc.terminate()\012proc.wait(timeout=5)\012server_log.close()\012\012res_evidence = {\012    'backend_idle_rss_mb': round(backend_idle, 2),\012    'electron_total_rss_mb': round(electron_idle, 2) if electron_idle > 0 else 'UNVERIFIED (Electron not running during test)',\012    'whole_amaura_idle_rss_mb': round(whole_idle, 2),\012    'normal_chat_peak_rss_mb': round(chat_peak_rss, 2),\012    'macos_action_peak_rss_mb': round(mac_peak_rss, 2),\012    'browser_peak_rss_mb': 'UNVERIFIED',\012    'antigravity_peak_rss_mb': 'UNVERIFIED',\012    'notes': 'Unmeasured workloads (Browser and Antigravity) are reported as UNVERIFIED without idle RSS substitution.'\012}\012\012with open(os.path.join(ev_dir, 'E-RES-001_rss.json'), 'w') as f:\012    json.dump(res_evidence, f, indent=2)\012\012with open(os.path.join(ev_dir, 'raw_ps_processes.txt'), 'w') as f:\012    f.write(subprocess.run(['ps', 'aux'], capture_output=True, text=True).stdout)\012\012print('Honest resource measurements recorded cleanly!')\012print(json.dumps(res_evidence, indent=2))\012
ashishsingh      54666   0.9  0.2 1890419040  20752   ??  S    12:37PM   0:02.45 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/json-language-features/server/dist/node/jsonServerMain --node-ipc --clientProcessId=54459
ashishsingh      69578   0.9  0.5 437081552  39584   ??  S     8:07PM   0:05.47 /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/antigravity/bin/language_server_macos_arm --enable_lsp --csrf_token 6be2433e-3428-434b-bace-1aa12a1e72cc --extension_server_port 63579 --extension_server_csrf_token 9028925f-5550-4034-bb1f-57e02df42bd6 --https_server_port 63580 --lsp_port 63604 --workspace_id file_Users_ashishsingh_Desktop_amaura_jarivs --cloud_code_endpoint https://daily-cloudcode-pa.googleapis.com --subclient_type ide --app_data_dir antigravity-ide --parent_pipe_path /var/folders/3t/t_zmxljd573839_bvb_mkc180000gn/T/server_3e4fbb357dd5ff6d
ashishsingh      28519   0.8  1.6 458033808 130992 s000  S+    8:37AM   3:29.59 omniroute (v16.2.10)  
_mds_stores        509   0.6  0.1 442649024   6320   ??  Ss    9:07PM  43:38.13 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
ashishsingh        643   0.6  0.1 435342864   7392   ??  S     9:07PM   0:02.25 /System/Library/CoreServices/sharedfilelistd
ashishsingh        604   0.6  0.0 435311904   3904   ??  S     9:07PM   1:20.59 /usr/sbin/cfprefsd agent
ashishsingh      67352   0.6  0.2 435390992  14768   ??  S     6:50PM   1:08.11 /usr/libexec/duetexpertd
ashishsingh      71971   0.6  0.1 439773520   7760   ??  Ss    8:28PM   0:00.37 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
